projectName,name,pathFile,productionFile,junitVersion,loc,qtdMethods,testSmellName,testSmellMethod,testSmellLineBegin,testSmellLineEnd
mssql-jdbc,SQLServerSpatialDatatypeTest,/root/.jnose_projects/mssql-jdbc/src/test/java/com/microsoft/sqlserver/jdbc/datatypes/SQLServerSpatialDatatypeTest.java,/root/.jnose_projects/mssql-jdbc/src/main/java/com/microsoft/sqlserver/jdbc/SQLServerSpatialDatatype.java,JUnit4,2241,108,Unknown Test,testCircularStringEmpty,924 - 931,924 - 931
mssql-jdbc,SQLServerSpatialDatatypeTest,/root/.jnose_projects/mssql-jdbc/src/test/java/com/microsoft/sqlserver/jdbc/datatypes/SQLServerSpatialDatatypeTest.java,/root/.jnose_projects/mssql-jdbc/src/main/java/com/microsoft/sqlserver/jdbc/SQLServerSpatialDatatype.java,JUnit4,2241,108,Unknown Test,testCompoundCurve,936 - 946,936 - 946
mssql-jdbc,SQLServerSpatialDatatypeTest,/root/.jnose_projects/mssql-jdbc/src/test/java/com/microsoft/sqlserver/jdbc/datatypes/SQLServerSpatialDatatypeTest.java,/root/.jnose_projects/mssql-jdbc/src/main/java/com/microsoft/sqlserver/jdbc/SQLServerSpatialDatatype.java,JUnit4,2241,108,Unknown Test,testCompoundCurve2,951 - 961,951 - 961
mssql-jdbc,SQLServerSpatialDatatypeTest,/root/.jnose_projects/mssql-jdbc/src/test/java/com/microsoft/sqlserver/jdbc/datatypes/SQLServerSpatialDatatypeTest.java,/root/.jnose_projects/mssql-jdbc/src/main/java/com/microsoft/sqlserver/jdbc/SQLServerSpatialDatatype.java,JUnit4,2241,108,Unknown Test,testCompoundCurve3,966 - 976,966 - 976
mssql-jdbc,SQLServerSpatialDatatypeTest,/root/.jnose_projects/mssql-jdbc/src/test/java/com/microsoft/sqlserver/jdbc/datatypes/SQLServerSpatialDatatypeTest.java,/root/.jnose_projects/mssql-jdbc/src/main/java/com/microsoft/sqlserver/jdbc/SQLServerSpatialDatatype.java,JUnit4,2241,108,Unknown Test,testCompoundCurveEmpty,981 - 988,981 - 988
mssql-jdbc,SQLServerSpatialDatatypeTest,/root/.jnose_projects/mssql-jdbc/src/test/java/com/microsoft/sqlserver/jdbc/datatypes/SQLServerSpatialDatatypeTest.java,/root/.jnose_projects/mssql-jdbc/src/main/java/com/microsoft/sqlserver/jdbc/SQLServerSpatialDatatype.java,JUnit4,2241,108,Unknown Test,testCurvePolygon,993 - 1003,993 - 1003
mssql-jdbc,SQLServerSpatialDatatypeTest,/root/.jnose_projects/mssql-jdbc/src/test/java/com/microsoft/sqlserver/jdbc/datatypes/SQLServerSpatialDatatypeTest.java,/root/.jnose_projects/mssql-jdbc/src/main/java/com/microsoft/sqlserver/jdbc/SQLServerSpatialDatatype.java,JUnit4,2241,108,Unknown Test,testCurvePolygon2,1008 - 1018,1008 - 1018
mssql-jdbc,SQLServerSpatialDatatypeTest,/root/.jnose_projects/mssql-jdbc/src/test/java/com/microsoft/sqlserver/jdbc/datatypes/SQLServerSpatialDatatypeTest.java,/root/.jnose_projects/mssql-jdbc/src/main/java/com/microsoft/sqlserver/jdbc/SQLServerSpatialDatatype.java,JUnit4,2241,108,Unknown Test,testCurvePolygon3,1023 - 1033,1023 - 1033
mssql-jdbc,SQLServerSpatialDatatypeTest,/root/.jnose_projects/mssql-jdbc/src/test/java/com/microsoft/sqlserver/jdbc/datatypes/SQLServerSpatialDatatypeTest.java,/root/.jnose_projects/mssql-jdbc/src/main/java/com/microsoft/sqlserver/jdbc/SQLServerSpatialDatatype.java,JUnit4,2241,108,Unknown Test,testCurvePolygonEmpty,1038 - 1045,1038 - 1045
mssql-jdbc,SQLServerSpatialDatatypeTest,/root/.jnose_projects/mssql-jdbc/src/test/java/com/microsoft/sqlserver/jdbc/datatypes/SQLServerSpatialDatatypeTest.java,/root/.jnose_projects/mssql-jdbc/src/main/java/com/microsoft/sqlserver/jdbc/SQLServerSpatialDatatype.java,JUnit4,2241,108,Unknown Test,testPointWkt,1063 - 1072,1063 - 1072
mssql-jdbc,SQLServerSpatialDatatypeTest,/root/.jnose_projects/mssql-jdbc/src/test/java/com/microsoft/sqlserver/jdbc/datatypes/SQLServerSpatialDatatypeTest.java,/root/.jnose_projects/mssql-jdbc/src/main/java/com/microsoft/sqlserver/jdbc/SQLServerSpatialDatatype.java,JUnit4,2241,108,Unknown Test,testLineStringWkt,1077 - 1086,1077 - 1086
